,empresa,setor,codigo_cvm,estatal,acoes_on,acoes_pn,acoes_total,equivalencia_unit
0,CMIG4,energia,2453,True,956601911,1905179984,2861781895,1
1,CMIG3,energia,2453,True,956601911,1905179984,2861781895,1
2,TAEE11,energia,20257,False,590714069,442782652,1033496721,3
3,TAEE3,energia,20257,False,590714069,442782652,1033496721,1
4,TAEE4,energia,20257,False,590714069,442782652,1033496721,1
5,CPLE6,energia,14311,True,1300347300,1682463291,2982810591,1
6,CPLE3,energia,14311,True,1300347300,1682463291,2982810591,1
0,CSMG3,saneamento,19445,True,380253069,0,380253069,1
1,SAPR11,saneamento,18627,True,503735259,1007470260,1511205519,5
2,SAPR3,saneamento,18627,True,503735259,1007470260,1511205519,1
3,SAPR4,saneamento,18627,True,503735259,1007470260,1511205519,1
4,SBSP3,saneamento,14443,True,683509869,0,683509869,1
0,BRSR3,banco,1210,True,205064841,203909636,408974477,1
1,BRSR5,banco,1210,True,205064841,203909636,408974477,1
2,BRSR6,banco,1210,True,205064841,203909636,408974477,1
3,ITSA3,banco,7617,False,3549302243,6778847188,10328149431,1
4,ITSA4,banco,7617,False,3549302243,6778847188,10328149431,1
5,SANB11,banco,20532,False,3818695031,3679836020,7498531051,2
6,SANB3,banco,20532,False,3818695031,3679836020,7498531051,1
7,SANB4,banco,20532,False,3818695031,3679836020,7498531051,1
8,BBAS3,banco,1023,True,5730834040,0,5730834040,1
9,BBDC4,banco,906,False,5330304681,5311865547,10642170228,1
10,BBDC3,banco,906,False,5330304681,5311865547,10642170228,1
11,ITUB3,banco,19348,False,4958290359,4845844989,9804135348,1
12,ITUB4,banco,19348,False,4958290359,4845844989,9804135348,1
0,BBSE3,seguro,23159,True,2000000000,0,2000000000,1
1,PSSA3,seguro,16659,False,646586060,0,646586060,1
2,WIZC3,seguro,23590,False,159907282,0,159907282,1
0,UGPA3,combustivel,18465,False,1115404268,0,1115404268,1
1,ENAT3,combustivel,22365,False,265806905,0,265806905,1
0,VIVT3,telecom,17671,False,1652588360,0,1652588360,1
1,TIMS3,telecom,24929,False,2420804398,0,2420804398,1
