,empresa,setor,codigo_cvm,estatal,acoes_on,acoes_pn,acoes_total,equivalencia_unit,equivalencia_ticker,equivalencia_valor
0,CMIG4,energia,2453,True,735847624,1465523064,2201370688,1,CMIG4,1.0
1,CMIG3,energia,2453,True,735847624,1465523064,2201370688,1,CMIG4,0.924145275584229
2,TAEE11,energia,20257,False,590714069,442782652,1033496721,3,TAEE11,1.0
3,TAEE3,energia,20257,False,590714069,442782652,1033496721,1,TAEE11,0.3377367188463109
4,TAEE4,energia,20257,False,590714069,442782652,1033496721,1,TAEE11,0.3377367188463109
5,CPLE6,energia,14311,True,1300347300,1682463291,2982810591,1,CPLE6,1.0
6,CPLE3,energia,14311,True,1300347300,1682463291,2982810591,1,CPLE6,0.9086668393314232
7,CSMG3,saneamento,19445,True,380253069,0,380253069,1,CSMG3,1.0
8,SAPR11,saneamento,18627,True,503735259,1007470260,1511205519,5,SAPR11,1.0
9,SAPR3,saneamento,18627,True,503735259,1007470260,1511205519,1,SAPR11,0.29027496094666416
10,SAPR4,saneamento,18627,True,503735259,1007470260,1511205519,1,SAPR11,0.3193024571737018
11,SBSP3,saneamento,14443,True,683509869,0,683509869,1,SBSP3,1.0
12,BRSR3,banco,1210,True,205064841,203909636,408974477,1,BRSR3,1.0
13,BRSR5,banco,1210,True,205064841,203909636,408974477,1,BRSR3,1.052999499347798
14,BRSR6,banco,1210,True,205064841,203909636,408974477,1,BRSR3,0.9962935024048926
15,ITSA3,banco,7617,False,3549302243,6778847188,10328149431,1,ITSA3,1.0
16,ITSA4,banco,7617,False,3549302243,6778847188,10328149431,1,ITSA3,0.9999999999999998
17,SANB11,banco,20532,False,3818695031,3679836020,7498531051,2,SANB11,1.0
18,SANB3,banco,20532,False,3818695031,3679836020,7498531051,1,SANB11,0.5956166124224903
19,SANB4,banco,20532,False,3818695031,3679836020,7498531051,1,SANB11,0.655167563016964
20,BBAS3,banco,1023,True,2865417020,0,2865417020,1,BBAS3,1.0
21,BBDC4,banco,906,False,5330304681,5311865547,10642170228,1,BBDC4,1.0
22,BBDC3,banco,906,False,5330304681,5311865547,10642170228,1,BBDC4,0.9090820104001106
23,ITUB3,banco,19348,False,4958290359,4845844989,9804135348,1,ITUB3,1.0
24,ITUB4,banco,19348,False,4958290359,4845844989,9804135348,1,ITUB3,1.0
25,BBSE3,seguro,23159,True,2000000000,0,2000000000,1,BBSE3,1.0
26,PSSA3,seguro,16659,False,646586060,0,646586060,1,PSSA3,1.0
27,WIZC3,seguro,23590,False,159907282,0,159907282,1,WIZC3,1.0
28,UGPA3,combustivel,18465,False,1115404268,0,1115404268,1,UGPA3,1.0
29,ENAT3,combustivel,22365,False,265806905,0,265806905,1,ENAT3,1.0
30,VIVT3,telecom,17671,False,1652588360,0,1652588360,1,VIVT3,1.0
31,TIMS3,telecom,24929,False,2420804398,0,2420804398,1,TIMS3,1.0
